Country of Foreign Investor,Number of Investors,Number of Parcels,Total Acres,"Total Value ($1,000)"
998-No Foreign Investor Listed,19,29,"84,517","1,652,507"
999-No Predominant Country Code,3,3,"16,402","33,486"
Australia,1,1,73,48
Canada,14,21,"20,337","57,891"
Cayman Islands,2,6,"191,734","278,616"
China,1,1,131,"1,200"
Cook Islands,1,1,408,"3,783"
France,2,2,"46,516","506,198"
Germany,5,6,"2,308","9,365"
Honduras,1,2,45,450
Ireland,1,1,"5,191","11,161"
Italy,17,129,"54,568","74,317"
Luxembourg,2,3,"1,496","5,292"
Malaysia,1,1,651,"8,000"
Mexico,2,2,166,96
Netherlands,5,5,286,"3,097"
Portugal,14,47,"49,230","63,662"
South Africa,1,1,26,500
State of Palestine,1,1,"11,421","9,127"
Sweden,3,4,"6,158","10,510"
Switzerland,1,3,59,185
United Kingdom,3,3,406,"1,102"
Subtotal 2/,100,272,"492,129","2,730,593"
US/998-No Foreign Investor Listed,3,6,"6,598","7,882"
US/999-No Predominant Country Code,1,1,3,56
US/Belgium,1,6,421,"6,203"
US/Canada,8,21,"8,634","55,247"
US/Japan,2,2,182,"1,544"
US/Netherlands,1,2,"1,345","4,790"
US/Singapore,1,6,114,"4,475"
US/Sweden,1,1,"1,499",600
US/Switzerland,1,1,12,35
US/United Kingdom,1,1,46,125
Subtotal 3/,20,47,"18,854","80,956"
Total All Land Acquisitions,120,319,"510,983","2,811,549"
