State,Total Land Area of State,Privately Held Agricultural Land,Foreign Held Agricultural Land,Proportion of Foreign Held to Privately Held Agricultural Land
Alabama,"32,476,160","28,760,792","1,656,522",5.8
Alaska,"366,048,640","57,446,991","270,325",0.5
Arizona,"72,726,400","7,833,746","266,785",3.4
Arkansas,"33,323,520","28,129,519","1,099,659",3.9
California,"99,813,760","41,823,058","1,088,289",2.6
Colorado,"66,379,520","36,521,116","1,110,761",3
Connecticut,"3,100,800","1,516,094","1,687",0.1
Delaware,"1,250,560","920,172","2,814",0.3
Florida,"34,513,280","21,849,568","1,266,396",5.8
Georgia,"37,059,840","30,823,101","1,073,959",3.5
Hawaii,"4,110,720","1,803,038","166,421",9.2
Idaho,"52,958,080","15,889,108","117,265",0.7
Illinois,"35,573,760","30,536,400","566,642",1.9
Indiana,"22,954,880","19,752,052","286,481",1.5
Iowa,"35,756,160","33,340,369","394,285",1.2
Kansas,"52,361,600","49,188,971","786,943",1.6
Kentucky,"25,425,920","22,089,269","71,104",0.3
Louisiana,"27,879,680","23,870,712","1,362,754",5.7
Maine,"19,751,680","17,955,835","3,300,220",18.4
Maryland,"6,255,360","4,260,408","51,349",1.2
Massachusetts,"5,017,600","2,306,458","4,796",0.2
Michigan,"36,354,560","24,098,445","1,315,568",5.5
Minnesota,"50,950,400","34,530,621","443,346",1.3
Mississippi,"30,020,480","26,201,244","656,942",2.5
Missouri,"44,087,040","36,030,827","320,157",0.9
Montana,"93,153,280","54,197,503","697,590",1.3
Nebraska,"49,198,080","45,610,153","159,869",0.4
Nevada,"70,288,640","9,753,158","508,142",5.2
New Hampshire,"5,739,520","4,251,738","16,835",0.4
New Jersey,"4,746,880","1,969,337","14,441",0.7
New Mexico,"77,667,840","33,526,570","1,048,220",3.1
New York,"30,216,960","22,328,715","543,553",2.4
North Carolina,"31,175,040","25,115,607","504,011",2
North Dakota,"44,144,640","38,548,498","215,417",0.6
Ohio,"26,206,720","21,566,008","437,703",2
Oklahoma,"43,946,880","38,326,752","700,774",1.8
Oregon,"61,438,080","25,420,956","1,063,930",4.2
Pennsylvania,"28,682,880","20,388,401","306,058",1.5
Puerto Rico,0,0,"2,866",0
Rhode Island,"668,800","307,509",15,0
South Carolina,"19,269,760","15,570,166","473,904",3
South Dakota,"48,566,400","37,939,910","131,217",0.3
Tennessee,"26,378,880","21,324,793","367,743",1.7
Texas,"167,550,080","153,626,848","3,910,727",2.5
Utah,"52,572,160","11,438,482","116,903",1
Vermont,"5,920,000","5,029,649","81,634",1.6
Virginia,"25,340,160","20,577,489","232,627",1.1
Washington,"42,588,160","22,014,053","1,505,116",6.8
West Virginia,"15,409,920","13,238,151","245,119",1.9
Wisconsin,"34,758,400","25,855,696","465,176",1.8
Wyoming,"62,144,000","25,067,954","396,352",1.6
TOTAL,"2,263,922,560","1,290,472,010","31,827,413",2.5
