Country,Number of Investors,Number of Parcels,Total Acres,"Total Value ($1,000)"
Argentina,38,44,"12,602","41,218"
Australia,29,41,"67,646","132,760"
Austria,60,110,"151,449","92,223"
Bahamas,36,50,"54,177","73,372"
Belgium,91,107,"64,326","24,902"
Belize,5,8,573,226
Bermuda,46,55,"28,567","35,264"
Bolivia,2,2,11,47
Brazil,12,22,"11,295","8,860"
Cambodia,1,1,31,80
Canada,"1,456","2,094","4,282,603","3,176,659"
Cayman Islands,38,44,"31,504","57,669"
Channel Islands,4,10,"2,550","22,436"
Chile,7,11,"2,097","7,366"
China,67,75,"13,720","81,425"
Colombia,40,53,"11,904","23,078"
Cook Islands,11,16,"2,899","8,962"
Costa Rica,8,10,"13,835","12,212"
Cote D'ivoire,1,1,119,100
Croatia,1,1,160,115
Cuba,3,4,58,"1,374"
Cyprus,1,2,516,"3,744"
Czech Republic,2,2,347,27
Denmark,40,201,"589,867","1,088,785"
Dominican Republic,3,3,29,128
Ecuador,19,25,481,"6,334"
Egypt,16,17,"1,540","7,296"
El Salvador,5,5,406,"1,495"
Finland,1,1,80,119
France,156,268,"371,340","466,743"
Gambia,1,1,294,118
Germany,"1,050","1,860","815,037","2,008,928"
Gibraltar,3,4,678,"5,118"
Greece,16,22,"61,882","15,573"
Guatemala,12,13,"1,233","3,674"
Guyana,1,1,35,180
Honduras,12,12,"1,018","6,462"
Hong Kong,60,79,"10,164","46,544"
Hungary,1,1,103,80
India,17,19,"2,040","6,569"
Indonesia,2,2,718,655
Iran (Islamic Republic Of),22,25,"2,463","6,906"
Ireland,24,52,"22,290","65,593"
Israel,10,13,"2,097","12,632"
Italy,120,"2,782","836,889","2,489,599"
Jamaica,4,4,567,470
Japan,137,210,"281,204","811,777"
Jordan,19,25,"2,065","15,834"
Kenya,1,1,91,256
"Korea, D.P.R.O.",6,6,469,"1,890"
"Korea, Republic of",22,22,"2,373","12,592"
Kuwait,10,15,"19,823","11,888"
Laos,1,1,31,208
Lebanon,30,39,"10,449","18,727"
Liberia,13,15,"8,985","8,426"
Liechtenstein,105,167,"117,849","240,172"
Lithuania,1,1,27,32
Luxembourg,10,18,"45,550","71,267"
Malaysia,5,10,"8,277","14,748"
Mexico,246,326,"257,996","158,938"
Morocco,1,4,875,"9,745"
Namibia,1,2,106,703
Nepal,2,5,"5,147","3,029"
Netherlands,671,"1,007","1,827,087","2,236,830"
New Zealand,12,57,"33,763","1,625,024"
Nicaragua,3,4,"1,378","3,174"
Norway,18,18,"5,229","5,324"
Oman,2,5,454,"2,478"
Pakistan,9,12,"1,677","2,222"
Panama,112,140,"109,297","167,210"
Peru,20,21,388,"1,426"
Philippines,31,40,"3,760","7,262"
Poland,3,3,305,615
Portugal,75,364,"851,625","1,148,673"
Russian Federation,5,8,834,"3,036"
Saint Vincent and the Grenadines,2,4,"2,637","4,056"
Saudi Arabia,39,51,"21,319","125,023"
Singapore,5,5,626,"5,505"
Somalia,1,1,11,28
South Africa,11,12,"2,124","8,214"
Spain,48,126,"158,662","157,959"
Sweden,38,59,"61,500","60,488"
Switzerland,366,502,"286,845","297,917"
Syrian Arab Republic,6,7,"2,574","4,147"
"Tanzania, United Republic of",1,1,59,649
Thailand,8,10,"1,785","12,604"
Trinidad and Tobago,3,3,94,371
Turkey,1,1,38,145
Turks and Caicos Islands,9,13,"3,292","3,283"
United Arab Emirates,12,41,"6,679","366,428"
United Kingdom,281,435,"465,526","390,461"
United States,1,1,510,"2,500"
Uruguay,5,7,"5,840","3,980"
Venezuela,96,160,"24,688","86,280"
Viet Nam,1,1,152,930
Virgin Islands (British),37,62,"61,563","60,379"
Zimbabwe,1,1,230,80
998 - No Foreign Investor Listed,10,14,"4,997","27,057"
999 - No Predominant Country Code,58,94,"59,775","96,283"
Subtotal 2/,"6,165","12,330","12,242,880","18,342,393"
US/Argentina,5,11,"3,060","3,054"
US/Australia,25,51,"44,496","112,579"
US/Austria,20,107,"22,979","29,873"
US/Bahamas,19,43,"42,050","79,383"
US/Barbados,1,2,82,739
US/Belgium,33,95,"95,564","54,132"
US/Belize,1,2,252,660
US/Bermuda,19,53,"15,469","13,905"
US/Brazil,7,62,"15,644","26,115"
US/Canada,350,"1,455","2,923,237","5,011,607"
US/Cayman Islands,15,31,"34,091","51,344"
US/Channel Islands,3,11,"1,910","11,814"
US/Chile,2,4,"9,948","1,374"
US/China,60,81,"55,400","79,947"
US/Colombia,15,29,"18,305","33,769"
US/Costa Rica,4,4,"1,092","7,246"
US/Denmark,18,67,"456,542","469,342"
US/Dominican Republic,1,1,589,825
US/Ecuador,4,4,"2,082","3,335"
US/Egypt,6,19,"3,061","5,913"
US/El Salvador,2,2,52,638
US/Finland,8,112,"203,124","18,126"
US/France,143,759,"406,440","544,782"
US/Germany,262,"1,097","827,228","893,690"
US/Greece,4,5,"5,664","66,530"
US/Guatemala,2,3,412,"1,018"
US/Guyana,1,2,334,284
US/Honduras,1,1,37,825
US/Hong Kong,20,25,"130,694","42,952"
US/India,3,8,"1,820","5,455"
US/Indonesia,21,71,"9,932","132,454"
US/Iran (Islamic Republic Of),5,6,"1,861","5,509"
US/Iraq,1,1,800,560
US/Ireland,23,283,"707,230","304,082"
US/Israel,4,5,505,"12,225"
US/Italy,38,74,"78,078","56,531"
US/Japan,234,424,"351,302","2,067,538"
US/Jordan,2,2,284,"6,500"
US/Kenya,1,1,32,360
"US/Korea, Republic of",5,6,593,"9,775"
US/Kuwait,6,12,"7,558","11,994"
US/Lebanon,4,5,411,"1,451"
US/Liberia,14,17,"45,683","16,815"
US/Libyan Arab Jamahiriya,2,3,280,"2,500"
US/Liechtenstein,50,83,"68,721","97,253"
US/Luxembourg,26,38,"89,634","52,495"
US/Malaysia,3,7,"5,775","10,248"
US/Malta,1,1,500,750
US/Mexico,61,133,"403,513","963,894"
