Country,Number of Investors,Number of Parcels,Total Acres,"Total Value ($1,000)",
Argentina,65,89,"68,821","320,279",
Australia,57,88,"97,925","155,672",
Austria,63,126,"158,609","108,308",
Bahamas,38,53,"54,786","87,402",
Belgium,103,160,"237,020","122,059",
Belize,6,9,"1,183","2,626",
Bermuda,47,56,"29,003","44,017",
Bolivia,2,2,11,47,
Brazil,16,28,"13,527","22,625",
Cambodia,3,5,572,82,
Canada,"1,673","6,393","7,485,081","5,582,776",
Cayman Islands,49,88,"608,543","833,413",
Channel Islands,6,12,"4,542","57,018",
Chile,8,12,"2,507","9,005",
China,81,263,"191,652","1,858,079",
Colombia,40,54,"11,990","23,228",
Cook Islands,12,24,"14,515","104,290",
Costa Rica,8,10,"13,835","12,212",
Cote D'ivoire,1,1,119,100,
Croatia,1,1,160,115,
Cuba,3,4,58,"1,374",
Cyprus,1,3,567,"6,064",
Czech Republic,2,2,347,27,
Denmark,41,156,"436,260","702,709",
Dominican Republic,3,3,29,128,
Ecuador,19,25,481,"6,334",
Egypt,17,18,"17,645","54,450",
El Salvador,5,5,406,"1,495",
Finland,1,1,80,119,
France,181,670,"643,093","1,316,876",
Gambia,1,1,294,118,
Germany,"1,124","2,395","1,193,674","4,088,552",
Gibraltar,3,4,678,"5,118",
Greece,16,22,"61,882","15,573",
Guatemala,13,14,"5,870","20,974",
Guyana,1,1,35,180,
Honduras,13,14,"1,063","6,912",
Hong Kong,62,81,"11,909","46,607",
Hungary,1,1,103,80,
India,21,23,"3,034","7,128",
Indonesia,2,2,718,655,
Iran (Islamic Republic Of),22,25,"2,463","6,906",
Ireland,32,241,"85,563","137,432",
Israel,10,13,"2,097","12,632",
Italy,274,"7,469","2,462,362","5,154,915",
Jamaica,4,4,567,470,
Japan,142,222,"279,628","812,657",
Jordan,17,22,"1,874","15,306",
Kenya,1,1,91,256,
"Korea, Republic of",27,28,"2,925","14,682",
Kuwait,10,15,"19,822","11,888",
Laos,1,1,31,208,
Lebanon,30,39,"10,449","18,727",
Liberia,13,15,"8,985","8,426",
Liechtenstein,108,176,"123,262","256,038",
Lithuania,1,1,27,32,
Luxembourg,32,119,"499,964","1,005,088",
Malaysia,10,15,"9,438","26,854",
Mauritius,1,1,622,"14,722",
Mexico,272,364,"268,493","184,632",
Morocco,1,4,875,"9,745",
Namibia,1,2,106,703,
Nepal,2,6,"5,357","3,354",
Netherlands,715,"1,386","4,449,524","6,083,102",
Netherlands Antilles,1,1,"17,110","2,262",
New Zealand,17,62,"35,245","1,631,628",
Nicaragua,3,4,"1,378","3,174",
Norway,17,17,"4,981","6,306",
Oman,2,5,454,"2,478",
Pakistan,9,12,"1,677","2,222",
Panama,115,146,"110,893","173,899",
Peru,20,21,388,"1,426",
Philippines,31,40,"3,760","7,262",
Poland,5,7,"3,655","3,814",
Portugal,120,955,"1,484,851","3,218,254",
Russian Federation,5,8,834,"3,036",
Saint Vincent and the Grenadines,2,4,"2,637","4,056",
Saudi Arabia,44,56,"18,586","163,748",
Singapore,11,12,"3,140","11,348",
Somalia,1,1,11,28,
South Africa,16,18,"10,732","215,089",
Spain,57,199,"257,153","466,961",
State of Palestine,1,1,"11,421","9,127",
Sweden,60,115,"186,241","310,421",
Switzerland,372,544,"297,069","364,682",
Syrian Arab Republic,6,7,"2,574","4,147",
"Tanzania, United Republic of",1,1,59,649,
Thailand,8,10,"1,785","12,604",
Trinidad and Tobago,3,3,94,371,
Turkey,1,1,38,145,
Turks and Caicos Islands,9,13,"3,292","3,283",
United Arab Emirates,13,43,"46,496","373,765",
United Kingdom,412,966,"1,177,251","2,224,836",
United States,3,5,"1,715","5,839",
Uruguay,12,19,"41,889","123,043",
Uzbekistan,1,1,40,420,
Venezuela,100,169,"27,138","108,169",
Viet Nam,1,1,152,930,
Virgin Islands (British),57,88,"82,315","146,771",
Zimbabwe,1,1,230,80,
998 - No Foreign Investor Listed,148,671,"730,030","5,902,519",
999 - No Predominant Country Code,100,208,"717,170","1,042,674",
Subtotal 2/,,"7,320","25,523","24,891,634","45,955,067"
US/Andorra,,1,1,"3,741","1,300"
US/Argentina,,9,15,"4,922","10,138"
US/Australia,,24,49,"17,847","46,145"
US/Austria,,21,113,"23,427","33,517"
US/Bahamas,,19,43,"42,050","79,383"
US/Barbados,,1,2,82,739
US/Belgium,,34,281,"118,976","174,150"
US/Belize,,1,2,252,660
US/Bermuda,,19,51,"14,413","13,242"
US/Brazil,,8,65,"16,294","44,415"
US/Canada,,401,"1,740","3,034,063","4,085,617"
US/Cayman Islands,,17,45,"37,245","68,695"
US/Channel Islands,,2,10,"1,268","6,296"
US/Chile,,2,4,"9,948","1,374"
US/China,,62,84,"55,616","80,957"
US/Colombia,,16,32,"27,575","55,464"
US/Cook Islands,,1,3,797,"7,078"
US/Costa Rica,,4,4,"1,092","7,246"
US/Denmark,,22,55,"363,994","377,650"
US/Dominican Republic,,1,1,589,825
US/Ecuador,,4,4,"2,082","3,335"
US/Egypt,,6,19,"3,061","5,913"
US/El Salvador,,2,2,52,638
US/Finland,,9,119,"227,018","83,114"
US/France,,149,958,"596,029","764,765"
US/Germany,,281,"1,146","865,923","1,130,987"
US/Greece,,4,5,"5,389","66,530"
US/Guatemala,,2,3,412,"1,018"
US/Guyana,,2,3,"1,012","4,819"
US/Honduras,,1,1,37,825
US/Hong Kong,,20,25,"130,694","42,952"
US/India,,6,15,"4,496","18,725"
US/Indonesia,,20,62,"8,515","132,829"
US/Iran (Islamic Republic Of),,5,6,"1,861","5,509"
US/Iraq,,1,1,800,560
US/Ireland,,22,113,"673,700","292,231"
US/Israel,,4,5,505,"12,225"
US/Italy,,42,78,"93,855","95,144"
US/Japan,,239,450,"355,542","2,087,039"
US/Jordan,,2,2,284,"6,500"
US/Kenya,,1,1,32,360
"US/Korea, Republic of",,6,8,938,"11,675"
US/Kuwait,,6,12,"7,558","11,994"
US/Lebanon,,4,5,411,"1,451"
US/Liberia,,14,17,"45,683","16,815"
US/Libyan Arab Jamahiriya,,2,3,280,"2,500"
US/Liechtenstein,,50,87,"70,417","103,899"
US/Luxembourg,,31,58,"285,044","798,832"
US/Malaysia,3,7,"5,775","10,248",
US/Malta,1,1,500,750,
US/Mexico,68,143,"414,466","988,879",
US/Netherlands,218,522,"495,726","745,911",
US/New Zealand,3,4,"49,403","4,026",
US/Nicaragua,1,2,282,397,
US/Norway,7,47,"13,279","36,439",
US/Pakistan,1,1,423,485,
US/Panama,52,69,"49,522","72,336",
US/Paraguay,1,1,236,270,
US/Peru,1,1,100,280,
US/Philippines,10,11,"6,863","3,692",
US/Portugal,3,4,"7,166","3,270",
US/Qatar,1,1,219,"2,180",
US/Saudi Arabia,28,58,"17,393","103,777",
US/Singapore,9,127,"109,850","314,742",
US/South Africa,7,10,"9,818","23,521",
US/Spain,31,107,"44,753","54,656",
US/Sweden,15,42,"171,340","1,495,567",
US/Switzerland,214,484,"369,043","406,210",
US/Thailand,3,6,"2,486","5,966",
US/Trinidad and Tobago,1,1,20,200,
US/Turkey,1,3,443,360,
US/United Arab Emirates,2,4,"1,250","2,920",
US/United Kingdom,255,744,"996,563","1,244,028",
US/Uruguay,2,2,655,960,
